Demolitions and New Construction,,,,
Planned for Demolition - 4 Wing please verify and update,,,,
Bld: PRIN Number,Bld: PRIN Name,Bld: PRIN Address,demo/replacement date,
22122,Hangar 1,H1 - Hangar Lane,to be replaced 2022 w 5000 sq.ft.,
22123,Hangar 2,H2 - Hangar Lane,to be replaced 2021 w 6000 sq.ft.,
22124,Hangar 3,H3 - Hangar Lane,to be replaced 2019 w 6000 sq.ft.,
22126,Hangar 6,H6 - Hangar Lane,to be replaced 2017 w 6000 sq.ft.,
22129,Fire Hall,B4 - Athabasca Road,to be demolished  ,
22146,Officers Mess,B20-Timberline Drive,to be demolished  ,
22153,NCO Mess,B30 - Queensway,to be demolished  ,
22156,All Ranks Mess,B40-Queensway,to be demolished  ,
22157,Club 41,B41-Beaverlodge Road,to be demolished  ,
22167,RC Chapel,B53-Queensway,to be demolished  ,
63089,Maple Flag Quarters 1 or storage building,B165 - Kingsway,to be demolished  ,
63090,Maple Flag Quarters 2 or storage building,B166 - Kingsway,to be demolished  ,
,,,,
Planned New Buildings - 4 Wing please verify and update,,,,
construction year,name,location,"gross floor area, sq.m",Does it replace an existing building?
2011,100 p. accomodation,beside trimess,5000, 
2011,100 p. accomodation,beside trimess,5000, 
2011,100 p. accomodation,beside trimess,5000, 
2011,school/daycare,@B82,7500, 
2012,firehall,beside H7,1500, 
2012,RTF,beside B84,, 
2013,trimess,"between B20,30,40",4000, 
2013,Canex,across from B69,10000, 
2014,airport tower,south of H1,500,
2014,chapel,,600,
2015,100 apartmt (750sq.ft ea),,7500,
2017,Hangar 6,H6 - Hangar Lane,6000,replaces Hangar 6
2019,Hangar 3,H3 - Hangar Lane,6000,replaces Hangar 3
2021,Hangar 2,H2 - Hangar Lane,6000,replaces Hangar 2
2022,Hangar 1,H1 - Hangar Lane,5000,replaces Hangar 1
,,,,
,,,,
 Canmet Energy's Questions,,,,
,,,,
Are there Energy intensity performance targets for new buildings?  ,,,,
,,,,
"Are any buildings anticipated to undergo major changes of use? If so, which ones, what will their use by changed to?",,,,
